Date,open,high,low,close,volume
2021-10-01 04:00:00,43650.49,44841.6,43475.43,44811.08,352.48780555
2021-10-01 08:00:00,44829.26,47800.0,44726.3,47492.29,970.22053076
2021-10-01 12:00:00,47530.0,47911.47,46726.35,47370.27,951.88583242
2021-10-01 16:00:00,47399.0,48236.08,47254.09,48046.25,597.10813178
2021-10-01 20:00:00,48058.24,48500.0,47756.69,48171.86,309.5758987
2021-10-02 00:00:00,48185.61,48259.57,47470.43,47543.44,218.15181842
2021-10-02 04:00:00,47552.89,47935.26,47468.15,47767.63,237.35986245
2021-10-02 08:00:00,47760.98,47926.16,47517.73,47720.72,137.52682138
2021-10-02 12:00:00,47720.72,48361.83,47650.26,47882.89,402.96921526
2021-10-02 16:00:00,47900.59,48297.16,47677.27,48274.06,205.04498566
2021-10-02 20:00:00,48276.12,48301.0,47549.64,47685.8,160.7913235
2021-10-03 00:00:00,47644.63,47975.22,47119.87,47943.81,206.46079998
2021-10-03 04:00:00,47940.56,48132.18,47823.99,47917.81,81.2825593
2021-10-03 08:00:00,47922.32,48063.22,47652.3,48023.67,79.65207325
2021-10-03 12:00:00,48018.34,48175.52,47826.52,47912.42,88.88258556
2021-10-03 16:00:00,47912.37,49225.55,47858.2,48818.68,387.65434111
2021-10-03 20:00:00,48841.41,48852.33,47609.09,48235.93,320.6706095
2021-10-04 00:00:00,48231.04,48323.59,47386.42,47519.58,231.2910498
2021-10-04 04:00:00,47480.0,47882.45,47242.23,47864.62,200.25624349
2021-10-04 08:00:00,47866.6,47961.19,47400.0,47619.11,335.35972783
2021-10-04 12:00:00,47611.76,48524.4,46900.0,47828.55,762.63344396
2021-10-04 16:00:00,47776.31,49530.53,47736.37,49403.87,867.26938367
2021-10-04 20:00:00,49424.19,49499.98,48575.0,49242.14,340.9706844
2021-10-05 00:00:00,49283.89,49811.0,49075.0,49320.0,200.01009558
2021-10-05 04:00:00,49323.86,49684.0,49096.84,49485.98,161.7566334
2021-10-05 08:00:00,49505.22,50400.0,49427.04,49901.19,445.71543174
2021-10-05 12:00:00,49901.19,50377.0,49613.0,49792.65,345.3337575
2021-10-05 16:00:00,49807.25,51416.56,49655.97,51220.53,504.57970853
